Bruttobetrag,SOLL/HABEN,"Konto (Erlöskonto)","Gegenkonto (Debitor)",Belegdatum,Belegnummer,Buchungstext,Zahlungsart,Dokument
34.97,H,44020,111112,230620,20001365,"A: 12005588 | K: 10033","Mollie PayPal",PDF
27.19,H,44020,111112,300620,20001380,"A: 12005611 | K: 10050","Mollie PayPal",PDF
69.57,H,44020,111112,180620,20001358,"A: 12005573 | K: 10022","Mollie PayPal",PDF
67.14,H,44020,111112,220620,20001362,"A: 12005582 | K: 10029","Mollie PayPal",PDF
0.25,H,44020,111112,090121,20001349,"A: 12005567 | K: 10001","SOFORT Überweisung",PDF
0.06,H,44020,111112,090121,20001336,"A: 12005558 | K: 10001",Kreditkarte,PDF
100.71,H,44020,111112,180620,20001356,"A: 12005572 | K: 10021","Mollie PayPal",PDF
53.49,H,44020,111112,290620,20001374,"A: 12005606 | K: 10046","Mollie PayPal",PDF
20.99,H,44020,111112,250620,20001369,"A: 12005594 | K: 10038","Mollie PayPal",PDF
37.67,H,44020,111112,270620,20001371,"A: 12005602 | K: 10042","Mollie PayPal",PDF
15.79,H,44020,111112,300620,20001379,"A: 12005612 | K: 10051","Mollie PayPal",PDF
0.07,H,44020,111112,120620,20001355,"A: 12005564 | K: 10001","SOFORT Überweisung",PDF
47.79,H,44020,111112,290620,20001377,"A: 12005610 | K: 10049","Mollie PayPal",PDF
14.99,H,44020,111112,220620,20001363,"A: 12005580 | K: 10027","Mollie PayPal",PDF
1.49,H,44020,111112,180620,20001357,"A: 12005575 | K: 10001","Mollie PayPal",PDF
27.19,H,44020,111112,290620,20001375,"A: 12005607 | K: 10047","Mollie PayPal",PDF
51.46,H,44020,111112,190620,20001359,"A: 12005576 | K: 10024","Mollie PayPal",PDF
27.48,H,44020,111112,270620,20001372,"A: 12005603 | K: 10043","Mollie PayPal",PDF
81.42,H,44020,111112,200620,20001360,"A: 12005578 | K: 10026","Mollie PayPal",PDF
57.9,H,44020,111112,230620,20001366,"A: 12005586 | K: 10028","Mollie PayPal",PDF
28.68,H,44020,111112,230620,20001364,"A: 12005587 | K: 10025","Mollie PayPal",PDF
18.58,H,44020,111112,290620,20001376,"A: 12005605 | K: 10045","Mollie PayPal",PDF
52.78,H,44020,111112,230620,20001367,"A: 12005585 | K: 10032","Mollie PayPal",PDF
5.9,H,44020,111112,120620,20001340,"A: 12005563 | K: 10016",Kreditkarte,PDF
5.9,H,44020,111112,090620,20001331,"A: 12005556 | K: 10004","SOFORT Überweisung",PDF
12.85,H,44020,111112,020620,1000,"A: 10004 | K: 10001",Nachnahme,PDF
0.2,H,44020,111112,090121,20001361,"A: 12005579 | K: 10001","Mollie PayPal",PDF
41.27,H,44020,111112,270620,20001373,"A: 12005604 | K: 10044","Mollie PayPal",PDF
17.09,H,44020,111112,250620,20001368,"A: 12005598 | K: 10039","Mollie PayPal",PDF
47.48,H,44020,111112,260620,20001370,"A: 12005599 | K: 10040","Mollie PayPal",PDF
9.99,H,44020,111112,300620,20001378,"A: 12005555 | K: 10011","Mollie PayPal",PDF
