Bruttobetrag,SOLL/HABEN,"Konto (Erlöskonto)","Gegenkonto (Debitor)",Belegdatum,Belegnummer,Buchungstext,Zahlungsart,Dokument
216.99,H,44020,111112,101220,20002043,"A: 12006400 | K: 11071",PayPal,PDF
57.16,H,44020,111112,090121,20002069,"A: 12006430 | K: 11103",PayPal,PDF
74.28,H,44020,111112,031220,20001995,"A: 12006349 | K: 11019",PayPal,PDF
36.89,H,44020,111112,191020,20001713,"A: 12006032 | K: 10662","Mollie PayPal",PDF
19.19,H,44020,111112,211220,20002165,"A: 12006521 | K: 11197",PayPal,PDF
144.21,H,44020,111112,271120,20001958,"A: 12006312 | K: 10983",PayPal,PDF
19.19,H,44020,111112,161220,20002102,"A: 12006460 | K: 11133",PayPal,PDF
21.28,H,44020,111112,061120,20001819,"A: 12006165 | K: 10841",PayPal,PDF
136.35,H,44020,111112,241020,20001734,"A: 12006054 | K: 10712",PayPal,PDF
23.79,H,44020,111112,161220,20002096,"A: 12006455 | K: 11128",PayPal,PDF
41.46,H,44020,111112,281220,20002294,"A: 12006645 | K: 11325",PayPal,PDF
23.19,H,44020,111112,090121,20002066,"A: 12006423 | K: 11096",PayPal,PDF
24.79,H,44020,111112,261020,20001741,"A: 12006061 | K: 10723",PayPal,PDF
38.87,H,44020,111112,071220,20002019,"A: 12006376 | K: 11047",PayPal,PDF
83.88,H,44020,111112,041220,20002001,"A: 12006355 | K: 11025",PayPal,PDF
13.49,H,44020,111112,301120,20001965,"A: 12006320 | K: 10991",PayPal,PDF
11.49,H,44020,111112,071120,20001826,"A: 12006174 | K: 10849",PayPal,PDF
28.48,H,44020,111112,151220,20002086,"A: 12006444 | K: 11117",PayPal,PDF
106.26,H,44020,111112,191020,20001712,"A: 12006030 | K: 10655","Mollie PayPal",PDF
11.39,H,44020,111112,090121,20002599,"A: 12006749 | K: 11435",PayPal,PDF
31.28,H,44020,111112,090121,20002076,"A: 12006426 | K: 11099",PayPal,PDF
52.46,H,44020,111112,121020,20001694,"A: 12006009 | K: 10251","Mollie PayPal",PDF
26.18,H,44020,111112,211220,20002164,"A: 12006524 | K: 11200",PayPal,PDF
11.69,H,44020,111112,211220,20002159,"A: 12006518 | K: 11194",PayPal,PDF
16.97,H,44020,111112,031120,20001798,"A: 12006140 | K: 10822",PayPal,PDF
21.39,H,44020,111112,281120,20001963,"A: 12006318 | K: 10989",PayPal,PDF
18.09,H,44020,111112,081220,20002027,"A: 12006381 | K: 11052",PayPal,PDF
54.89,H,44020,111112,201120,20001913,"A: 12006267 | K: 10938",PayPal,PDF
54.89,H,44020,111112,231120,20001933,"A: 12006267 | K: 10938",PayPal,PDF
-54.89,H,44020,111112,231120,21000010,"A: 12006267 | K: 10938",PayPal,PDF
9.99,H,44020,111112,211220,20002150,"A: 12006509 | K: 11185",PayPal,PDF
27.98,H,44020,111112,301220,20002333,"A: 12006702 | K: 11384",PayPal,PDF
109.4,H,44020,111112,301220,20002365,"A: 12006731 | K: 11415",PayPal,PDF
41.97,H,44020,111112,040121,20002445,"A: 12006526 | K: 11202",PayPal,PDF
-50.29,H,44020,111112,291020,21000007,"A: 12006116 | K: 10797",Vorkasse,PDF
50.29,H,44020,111112,291020,20001779,"A: 12006116 | K: 10797",Vorkasse,PDF
50.29,H,44020,111112,291020,20001776,"A: 12006116 | K: 10797",Vorkasse,PDF
55.96,H,44020,111112,291220,20002301,"A: 12006671 | K: 11352",PayPal,PDF
50.47,H,44020,111112,231120,20001930,"A: 12006282 | K: 10953",PayPal,PDF
26.98,H,44020,111112,061120,20001818,"A: 12006144 | K: 10826",Vorkasse,PDF
18.29,H,44020,111112,121120,20001852,"A: 12006207 | K: 10879",PayPal,PDF
41.97,H,44020,111112,281220,20002281,"A: 12006662 | K: 11341",PayPal,PDF
72.57,H,44020,111112,181120,20001903,"A: 12006258 | K: 10930","SOFORT Überweisung",PDF
8.29,H,44020,111112,311220,20002373,"A: 12006748 | K: 11434",PayPal,PDF
26.98,H,44020,111112,191020,20001716,"A: 12006034 | K: 10664","Mollie PayPal",PDF
